mode,scenario,agent,profit,fulfillment,defaults,final_backlog,training_share,enterprise_share,spot_share
llm,baseline,Hyperscaler,893.7118613986215,1.0,0,0.0,0.49197144661223785,0.21203655599531732,0.20342755816415412
llm,baseline,PremiumCloud,1484.8148035249528,0.9760342248470981,0,0.3576943209899098,0.322260141755207,0.8008765916873338,0.06135238770337348
llm,baseline,SpotBroker,994.1380222499913,1.0,0,0.0,0.4533614414835992,0.31568021087287895,0.29656566658374545
llm,price_war,Hyperscaler,959.1259954066583,0.9861408525952842,0,0.5313446999373536,0.43178685956337504,0.13773531290057384,0.43145098505432466
llm,price_war,PremiumCloud,1128.9230439032276,1.0,0,0.0,0.22479841668714814,0.5853130678634944,0.06435385304216909
llm,price_war,SpotBroker,762.2566374424323,0.9863581065957814,1,0.0,0.33827192536648254,0.22364607567071773,0.5019665425739772
llm,supply_shock,Hyperscaler,940.1732799396264,0.9340607733063626,3,3.572669157006199,0.5249048970480841,0.24466602536570195,0.22035200964582227
llm,supply_shock,PremiumCloud,1502.3215276473761,0.885054313214195,4,2.002133562094255,0.29651101980350075,0.6681512607482892,0.06125657218119514
llm,supply_shock,SpotBroker,1154.6658406452473,0.9643265796284074,2,5.52027177928119,0.41136075059094285,0.32655778944581215,0.26327346643142313
llm,high_volatility,Hyperscaler,926.011009842502,1.0,0,0.0,0.4980566810119868,0.2246042178461185,0.20686459114083153
llm,high_volatility,PremiumCloud,1502.4906452527866,0.9708938439903341,1,0.7353769916328567,0.3174783809371579,0.7157705334937695,0.06738687755403791
llm,high_volatility,SpotBroker,903.9449661912811,0.9771505688901096,1,0.0,0.45515761828418244,0.3191342408141691,0.29979570643575965
llm,no_reputation,Hyperscaler,928.8803583884518,1.0,0,0.0,0.4793382205892007,0.23376543102262762,0.19485774672612163
llm,no_reputation,PremiumCloud,1274.6735706992608,0.9851678795990757,0,0.6739869923240673,0.3432701041727009,0.7764462445438814,0.07287748317355308
llm,no_reputation,SpotBroker,979.2060851591511,1.0,0,0.0,0.450366619658498,0.34620285515109955,0.29504538313341094
llm,no_transfer,Hyperscaler,919.258631352508,1.0,0,0.0,0.5109866412066177,0.23457063918429702,0.2143191808806176
llm,no_transfer,PremiumCloud,1477.4820156826354,0.9463995814687559,2,0.0,0.31302370477313723,0.6774444252294531,0.06834623050318302
llm,no_transfer,SpotBroker,1037.8903024679869,0.9980317631778991,0,0.0,0.4311874962675701,0.3292719336836595,0.2777785386587147
llm-context,baseline,Hyperscaler,1006.7381824862665,1.0,0,0.0,0.46604045769238633,0.19601740588921132,0.19373612953846248
llm-context,baseline,PremiumCloud,1700.4603377098285,0.9911497746295258,0,0.0,0.3063478815443693,0.6935743756522306,0.06346439356556445
llm-context,baseline,SpotBroker,807.5537651361977,0.9782791940405833,1,0.040865946079652236,0.5776313492853562,0.38238622328049526,0.3841237933977591
llm-context,price_war,Hyperscaler,971.5015260049755,0.9888595079303569,0,0.03570520146752942,0.41921533306107206,0.13159731776220326,0.4265057008312725
llm-context,price_war,PremiumCloud,1100.3856154509058,1.0,0,0.0,0.24336794657439745,0.5864856715290774,0.07784352917805795
llm-context,price_war,SpotBroker,776.0159719165176,0.9416771253955822,1,0.6248372107658369,0.357523481632523,0.23582954260655098,0.5217193483018605
llm-context,supply_shock,Hyperscaler,1000.8950715519184,0.9430604828786925,3,4.739528266098181,0.49914716240994705,0.23984615837655876,0.20223319651951582
llm-context,supply_shock,PremiumCloud,1464.637605692141,0.8601875445283902,6,2.614767564630855,0.3015247206979137,0.6498556026703064,0.06450035505685797
llm-context,supply_shock,SpotBroker,997.6124055817326,0.9523250015598564,2,0.4524203186584262,0.4664880752464073,0.3406145863181165,0.30856593530896004
llm-context,high_volatility,Hyperscaler,1023.6216031926704,0.9994470020101605,0,0.0,0.48046511266989556,0.22678810798612117,0.20167023886111113
llm-context,high_volatility,PremiumCloud,1506.5742657359508,0.9474563982891983,3,0.0,0.30863162693385665,0.6748633650286566,0.0675027748119238
llm-context,high_volatility,SpotBroker,873.746442583896,0.9609595162524934,2,0.0,0.5111453062292965,0.3645223134856339,0.3356453822229827
llm-context,no_reputation,Hyperscaler,1096.7726124466562,0.9994787545918841,0,0.0,0.4856289356716645,0.2305206368678018,0.21090004131101325
llm-context,no_reputation,PremiumCloud,1392.3071092111247,0.9227926465852776,4,0.0934787867965411,0.3073537491955103,0.6896277440447781,0.0684075661808398
llm-context,no_reputation,SpotBroker,922.7702675958437,0.9516988342427477,1,0.0,0.4731616183639614,0.40417788358542983,0.2906773210662905
llm-context,no_transfer,Hyperscaler,1013.1485509319995,1.0,0,0.0,0.4959926322107282,0.22699350175738767,0.2066710520996329
llm-context,no_transfer,PremiumCloud,1520.2034317019081,0.9585383503333335,2,0.25424754840592517,0.3087684852995534,0.6747251591397382,0.06663604936277095
llm-context,no_transfer,SpotBroker,989.0774129963687,0.9874058780429409,0,0.0,0.4681146592017323,0.34917990742836164,0.3040710021883557
llm-adaptive,baseline,Hyperscaler,1481.8330503513707,1.0,0,0.0,0.45974337836203866,0.22624878199843068,0.18317383075723542
llm-adaptive,baseline,PremiumCloud,1073.7221010920682,0.9605169885930213,2,0.5230569286120242,0.4758222800351709,0.9777903378219767,0.11004809100956336
llm-adaptive,baseline,SpotBroker,1160.8119764533878,0.996420930802498,0,0.0,0.41422645756369636,0.28674949386902965,0.28634341525189505
llm-adaptive,price_war,Hyperscaler,1499.954569386599,1.0,0,0.0,0.4161828774967098,0.1343507442640738,0.41198906507951527
llm-adaptive,price_war,PremiumCloud,1084.4581055860358,0.9968189094985976,0,0.0,0.3193914755273504,0.6540400207281506,0.12083847406435645
llm-adaptive,price_war,SpotBroker,1012.6749888982251,0.9930985209785429,0,0.0,0.3265266646236426,0.20527677591114335,0.5082682138101812
llm-adaptive,supply_shock,Hyperscaler,1581.9039623785154,0.9717981301198141,2,3.8481856137186976,0.5104314525184336,0.2580251001191503,0.20392700407712827
llm-adaptive,supply_shock,PremiumCloud,1177.7649408994764,0.83700503629723,5,7.045442590679257,0.37692563637456894,0.7401512067773836,0.09065949244298685
llm-adaptive,supply_shock,SpotBroker,1478.1153248628752,0.9895763615040427,0,0.030542626423309568,0.3819665294353114,0.2811561209468701,0.2602196265494551
llm-adaptive,high_volatility,Hyperscaler,1511.9742337695307,1.0,0,0.0,0.459953745021068,0.23564575889384173,0.18204921904972649
llm-adaptive,high_volatility,PremiumCloud,1063.9451453554207,0.941196129876563,3,1.318257962009362,0.46550147964123856,0.9425871278620717,0.10892626560581237
llm-adaptive,high_volatility,SpotBroker,1130.6444993549776,0.98930434503684,1,0.0,0.418434316435925,0.2878836044921891,0.2917138794686157
llm-adaptive,no_reputation,Hyperscaler,1242.3718565025854,1.0,0,0.0,0.4804549404566939,0.23918010583308005,0.18324604482455611
llm-adaptive,no_reputation,PremiumCloud,1068.7214967787324,0.924786300051189,4,3.2322768691033517,0.4409948366839379,0.8834271871890651,0.10091274579133185
llm-adaptive,no_reputation,SpotBroker,1221.7219446990148,1.0,0,0.0,0.40252004237858235,0.28215915367541516,0.2761209410706751
llm-adaptive,no_transfer,Hyperscaler,1225.6205507536752,1.0,0,0.0,0.4842502701492676,0.26480865637355044,0.18800280916296003
llm-adaptive,no_transfer,PremiumCloud,1101.3896762453742,0.8655386674547505,8,3.0195447126202626,0.40022676533658147,0.7393116512081476,0.09751052642937992
llm-adaptive,no_transfer,SpotBroker,1231.793637718709,0.9980541118577142,0,0.0,0.408175159489233,0.313349041351101,0.27819322630202026
llm-context-adaptive,baseline,Hyperscaler,1529.0928287907648,1.0,0,0.0,0.459991102208617,0.22641567877396251,0.18272784816621507
llm-context-adaptive,baseline,PremiumCloud,1078.3047914150588,0.9605807764836328,2,0.5217010352610206,0.47956206593235523,0.9802390888953695,0.11087872336579656
llm-context-adaptive,baseline,SpotBroker,1192.0739180609462,0.9979424803474333,0,0.0,0.4123405552837476,0.2838753827588622,0.2854095505440826
llm-context-adaptive,price_war,Hyperscaler,1447.86589841887,0.9970504098617059,0,0.0,0.4176435737469107,0.1356624652471489,0.4125924332616318
llm-context-adaptive,price_war,PremiumCloud,1092.116680532191,0.9924259679433334,0,0.0,0.30090451538936225,0.6303987191620191,0.11020758462969589
llm-context-adaptive,price_war,SpotBroker,995.8687054608558,0.9910196378931931,0,0.0,0.33214896524693643,0.20912505592510297,0.5173376766712965
llm-context-adaptive,supply_shock,Hyperscaler,1600.411200958711,0.9456672333247563,2,6.991603832487256,0.4953498028573575,0.25275358089467903,0.19504541674393552
llm-context-adaptive,supply_shock,PremiumCloud,1206.0045150236115,0.8360235283416455,5,3.485722949047099,0.38089461847098677,0.7383462759520508,0.0925896955132709
llm-context-adaptive,supply_shock,SpotBroker,1378.5626422489652,0.9877148758713881,0,0.28171930784823274,0.4046537868076596,0.2936992798824909,0.278450962693975
llm-context-adaptive,high_volatility,Hyperscaler,1429.446250540605,1.0,0,0.0,0.46431200819564494,0.24113729100493958,0.18218338845291573
llm-context-adaptive,high_volatility,PremiumCloud,1074.9497767921612,0.9320733434089096,4,1.0580748327455556,0.46212736266102605,0.8878029493270485,0.11203109837501045
llm-context-adaptive,high_volatility,SpotBroker,1250.494096850266,1.0,0,0.0,0.4129102290542863,0.2975687256390909,0.28486637627919104
llm-context-adaptive,no_reputation,Hyperscaler,1398.3536160327244,1.0,0,0.0,0.4741141831878651,0.2326855435208302,0.187226315830636
llm-context-adaptive,no_reputation,PremiumCloud,1069.9920643863934,0.9473610756701948,2,1.034404444951509,0.45375329937536923,0.9025563921937023,0.10674406962913542
llm-context-adaptive,no_reputation,SpotBroker,1241.471592639772,1.0,0,0.0,0.402360979132079,0.2922927783695933,0.2715183644988958
llm-context-adaptive,no_transfer,Hyperscaler,1187.4579819104415,1.0,0,0.0,0.48316948530091436,0.26422248567334156,0.18679707958952843
llm-context-adaptive,no_transfer,PremiumCloud,1137.3244716349952,0.8766002329128376,8,1.5374137189604797,0.4002502275154629,0.731014178882292,0.09889363853461698
llm-context-adaptive,no_transfer,SpotBroker,1201.4507898496458,0.9980512765645189,0,0.0,0.4111476507852605,0.31370592708793477,0.28099228094285184
